author_id,FullName,HIndex,research_sector
309238221625,Guillaume Lemaître,10,32057259
747324850364,Patrick L. Meras,4,8258574
987843024183,S. I. Konovalov,5,30262949
1348620307694,A. Seiden,19,1631149
257698535807,F. Guescini,78,1631149
386547616079,Kirsten Patrick,11,7352532
352187825414,I. Mandić,2,1631149
730145054695,G. Lukyanchenko,15,23376214
747324904932,G. Rizzo,74,15925557
231928734231,S Watanuki,2,15925557
266288472986,Zhimei Lv,8,30262949
644245601677,Kyoji Onaru,2,1631149
704375222782,A. Di Giacinto,5,23376214
738734943330,Troelz Denver,7,8258574
163209374625,Siyi Wanggou,10,30262949
627065791804,Yoshinobu Unno,48,1631149
1271310874656,W. Vulcan,36,13750489
60130065240,Pedro Zuccarello,5,8575869
575526146813,Shogo Nakayama,3,26865719
1305670675315,L. Vitale,75,15925557
1331440431870,Igor Danilkin,19,17040978
120259625277,K H Williford,23,2814755
1262720888201,S. J. Lee,17,1631149
1563368658745,T Strub,13,17040978
1640678070519,G. Casarosa,38,15925557
300648249728,B.T. Adalsteinsson,6,17040978
395137560825,E. J. Staats,2,1631149
627065722236,B R White,7,30262949
1185411466862,L Lanceri,9,15925557
1632088169953,X. Kang,2,8575869
111669734024,D Paudyal,9,17040978
94489818829,D.S. Hou,7,27313889
137439485359,Zachary W. Yokley,7,23376214
180389239721,J.-H. Arling,22,1631149
1494649202701,G Testera,2,23376214
249108652430,Sigmar K. Stefansson,3,17040978
1649267954187,Arnaud Serret-Larmande,5,32057259
128849558808,I V Gorelov,114,1631149
489626839231,A.S. Biselli,68,1631149
755914840420,Oleg Smirnov,13,23376214
1133871916904,J. Wiechczynski,35,15925557
1194001509269,Ewa Wons,4,17040978
566936217113,Anna-Karina Kaczorowska,7,17040978
120259680919,G. Batignani,43,15925557
592705994973,A. Kourkoumeli-Charalampidi,62,17247747
712965134115,A.J. Bevan,61,1631149
962073174460,Shinji Miki,11,26865719
833224217440,Z. Kotek,2,1631149
901943687523,L X Chung,2,27313889
360777873683,F. Giudicepietro,21,17040978
395137495708,L Hehn,3,30262949
592706051715,S. Rottenanger,6,23376214
180389208518,Romain Griffier,6,32057259
781684548518,D.J. Hamilton,24,17040978
1082332353958,L. X. Chung,2,27313889
34360310694,Filippo Bosi,14,15925557
429497297157,S. Appel,9,23376214
773094627889,Y.X. Bai,4,2538267
412317451535,Seyedali Moayedi,9,8575869
1297080742776,Nuruzzaman,16,13750489
335007990736,I. Mandić,48,1631149
1288490732761,Majorana Collaboration,4,30262949
1322850486067,Shuxia Fu,3,30262949
51540175382,A S Barabash,4,30262949
910533596932,Jonathan H. Kawamura,14,8258574
1022202736071,Y. Onuki,7,15925557
1305670640363,Susanne Mertens,22,30262949
420907380416,Rajeev Kumar,8,15925557
292058344402,Alain Delbart,18,27313889
515396605113,J. Stastny,3,1631149
1005022856069,V. Latonova,9,1631149
25770432625,Martin Boeker,19,32057259
1451699520790,T. Zakareishvili,29,8575869
446677141211,V. Bertacchi,17,15925557
1279900832890,S. Kühn,6,1631149
1503239104746,G. Bellini,21,23376214
1606318263252,Z. Natkaniec,70,15925557
1357210244870,Miguel Ullán,20,1631149
395137625025,Brett K Beaulieu-Jones,17,32057259
523986578174,C. Schwanda,62,15925557
1477469340278,R G H Robertson,36,30262949
1056562484488,M. Buuck,3,30262949
953483244328,T. Miyazaki,2,27313889
231928826374,Luying Sun,3,30262949
1443109535862,V Atroshchenko,9,23376214
575526183450,S. Diez,11,1631149
764504738157,B. Neumair,9,23376214
798864411566,Elisa Salamanca,7,32057259
652835636296,Hasan Arsın,2,17040978
197569082586,Michele Montuschi,13,23376214
661425573504,Xiaocong Ai,3,1631149
532576560212,D. Dudas,2,1631149
1468879311967,S. Momiyama,12,27313889
962073216979,S. Zhamkochyan,7,13750489
1348620260830,M. I. Niculescu,5,13750489
343597918395,T. Higuchi,15,15925557
515396686949,D. Yamaguchi,2,1631149
790274558724,Marc Hauser,3,1631149
979253166350,Pablo Sobron,15,2814755
146029362681,G. Kramberger,48,1631149
420907409382,P. Moschovakos,43,17247747
575526161110,S. Sottocornola,37,17247747
781684685480,Julien Champ,10,32057259
1391569920068,J.P. Thomas,78,1631149
1159641696630,C. Garcia Argos,3,1631149
17180459373,Moisés Rojas-Badilla,5,1631149
850404158707,William F. Hug,12,2814755
541166405227,Moritz Wiehe,3,1631149
549756374789,B. Ponzio,5,17247747
292058333867,Simon Gardner,10,17040978
1013612862701,Ryutaro Nishimura,6,1631149
1417339790421,Minghao Gu,4,2538267
876173864458,A. Braghieri,50,17040978
489626828750,F. Château,14,27313889
481036831906,Richard French,14,1631149
618475800232,Bas Vroling,14,17040978
1288490714815,V. Bekrenev,25,17040978
678605426084,S. Bacher,3,15925557
1133871863960,S.D. Worm,64,23376214
214748948560,Sebastian Dorawa,3,17040978
1305670667369,M. Mikestikova,66,1631149
60130093551,R. Massarczyk,19,30262949
197568999945,K. Matsui,9,27313889
206159056594,Lukoye Atwoli,24,7352532
309238213162,Debashis Sahoo,2,15925557
1425929671054,J. Kierstead,9,1631149
249108666668,S. Bettarini,76,15925557
678605427926,F. Afzal,12,17040978
498216830546,Pauline Hall Barrientos,4,17040978
962073299348,Hiroyasu Ejiri,41,30262949
721555108563,S. N. Prakhov,23,17040978
231928815452,Scott Davidoff,8,8258574
309238269371,JILL-JÊNN VIE,7,32057259
764504729626,E. Downie,24,17040978
60130057840,F. von Feilitzsch,9,23376214
154619364836,Detlef Kraska,2,32057259
8590476623,Joseph Razzell Hollis,10,2814755
