PublicationId,authors,topics,publication_year,Doi
551926,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[144133560 155202549],2021,10.1136/BMJMILITARY-2021-001983
551957,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[47768531 71924100],2021,10.1093/FAMPRA/CMAB101
8590488517,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[144133560 175605778],2021,10.5152/TURKARCHPEDIATR.2021.21060921
25770356408,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[47768531 71924100],2021,10.1093/EUROPACE/EUAB226
34360290764,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[47768531 71924100],2021,10.1093/JTM/TAAB125
34360290891,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[47768531 86803240],2021,10.1093/HMG/DDAB231
60130094586,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[47768531 86803240],2021,10.1093/HMG/DDAB231
68720028858,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[47768531 17744445],2021,10.1111/BCP.15048
68720028878,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[47768531 17744445],2021,10.1093/JNCI/DJAB156
68720028879,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[47768531 17744445],2021,10.1093/JPP/RGAB127
94489832576,"['id:206159056594, name:Lukoye Atwoli'
 'id:386547616079, name:Kirsten Patrick'
 'id:532576531850, name:Damián Vázquez'
 'id:42949672963, name:Carlos Augusto Monteiro']",[47768531 17744445],2021,10.1093/HUMREP/DEAB193
