PublicationId,authors,topics,publication_year,Doi
465031,"['id:300648343950, name:Tadeusz Kaczorowski'
 'id:566936217113, name:Anna-Karina Kaczorowska'
 'id:214748948560, name:Sebastian Dorawa']",[185592680  89423630],2019,10.3390/V11070657
8590182776,"['id:1151051732647, name:E. Paoloni' 'id:1640678070519, name:G. Casarosa'
 'id:120259680919, name:G. Batignani' 'id:747324904932, name:G. Rizzo'
 'id:738734879708, name:F. Forti' 'id:249108666668, name:S. Bettarini']",[192562407 120665830],2016,10.1088/1748-0221/11/12/C12018
8590359559,"['id:987842971362, name:Z. Galloway' 'id:335007990736, name:I. Mandić'
 'id:1348620307694, name:A. Seiden' 'id:146029362681, name:G. Kramberger']",[ 49040817 121332964],2019,10.1016/J.NIMA.2018.08.041
8590382155,"['id:962073216979, name:S. Zhamkochyan'
 'id:274878535359, name:Satoshi Nakamura'
 'id:867583901561, name:A. V. Margaryan']",[121332964 185544564],2019,10.1016/J.NIMA.2019.04.063
8590416941,"['id:111669774394, name:Eva Nordberg Karlsson'
 'id:403727562291, name:Hildegard Watzlawick'
 'id:300648328930, name:Arnthór Aevarsson'
 'id:300648343950, name:Tadeusz Kaczorowski'
 'id:377957629331, name:Andrius Jasilionis'
 'id:566936217113, name:Anna-Karina Kaczorowska']",[185592680  55493867],2019,10.1107/S2059798319013330
17180318214,"['id:51540165879, name:L. Bosisio' 'id:1520419039372, name:C. Irmler'
 'id:1340030381809, name:R. Thalmeier'
 'id:171799290927, name:M. De Nuccio' 'id:197569102908, name:P. Kvasnička'
 'id:120259680919, name:G. Batignani'
 'id:309238213162, name:Debashis Sahoo'
 'id:1039382675503, name:Belle-II SVD Collaboration'
 'id:807454379929, name:Hiroaki Aihara'
 'id:360777843194, name:G.N. Taylor' 'id:747324904932, name:G. Rizzo'
 'id:1073742338742, name:P. Mammini' 'id:1073742364278, name:T. Lueck'
 'id:1529008897114, name:F. Buchsteiner'
 'id:1322850519912, name:A. Martini' 'id:300648222281, name:M. Ceccanti'
 'id:919123574523, name:T. Bilka' 'id:1202591383791, name:M. Friedl'
 'id:1623498136106, name:M. Kaleta' 'id:446677141211, name:V. Bertacchi'
 'id:77309904984, name:L. Zani' 'id:1022202736071, name:Y. Onuki'
 'id:738734879708, name:F. Forti' 'id:343597918395, name:T. Higuchi'
 'id:781684658172, name:S.N. Mayekar' 'id:34360310694, name:Filippo Bosi'
 'id:1305670675315, name:L. Vitale' 'id:420907380416, name:Rajeev Kumar'
 'id:1640678070519, name:G. Casarosa' 'id:51540176435, name:H. Tanigawa'
 'id:523986578174, name:C. Schwanda' 'id:1082332304728, name:C. Joo'
 'id:670015494008, name:N. Dash' 'id:249108666668, name:S. Bettarini'
 'id:206158947938, name:H. Yin' 'id:541166390804, name:T. Morii'
 'id:17180438336, name:Waclaw Ostrowicz'
 'id:1606318263252, name:Z. Natkaniec' 'id:1151051732647, name:E. Paoloni'
 'id:678605426084, name:S. Bacher' 'id:1185411466862, name:L Lanceri'
 'id:446677106364, name:M. Rozanska'
 'id:1133871916904, name:J. Wiechczynski']",[121332964 185544564],2020,10.1016/J.NIMA.2019.05.025
34360166020,"['id:987842971362, name:Z. Galloway'
 'id:627065791804, name:Yoshinobu Unno'
 'id:1279900868211, name:A.A. Affolder']",[ 49040817 121332964],2019,10.1016/J.NIMA.2018.08.123
34360228672,"['id:1477469340278, name:R G H Robertson'
 'id:755914786301, name:A.S. Barabash'
 'id:1219771280085, name:F. T. Avignone'
 'id:730144966089, name:R. Henning' 'id:1443109554573, name:J. Rager'
 'id:1159641686495, name:P.-H. Chu' 'id:970663200381, name:J.F. Wilkerson'
 'id:1374390031044, name:Richard Kouzes'
 'id:326418083625, name:T. Gilliss' 'id:60130093551, name:R. Massarczyk']",[121332964 114614502],2020,10.1088/1742-6596/1342/1/012026
51539698674,"['id:197569082586, name:Michele Montuschi'
 'id:1494649202701, name:G Testera' 'id:1236951107143, name:B. Caccianiga'
 'id:420907385456, name:E. V. Unzhakov'
 'id:1503239104746, name:G. Bellini' 'id:154619354073, name:L. Papp'
 'id:1151051821582, name:S Weinz' 'id:309238242577, name:D. Bravo'
 'id:274878403236, name:F. Gabriele' 'id:429497297157, name:S. Appel'
 'id:730145054695, name:G. Lukyanchenko' 'id:120259663826, name:S Davini'
 'id:1511829068521, name:B. Lehnert' 'id:833224193028, name:M Toropova'
 'id:1030792675995, name:S. Marcocci'
 'id:1099512199704, name:R. Tartaglia'
 'id:137439485359, name:Zachary W. Yokley'
 'id:60130057840, name:F. von Feilitzsch'
 'id:1494649187005, name:C Hagner' 'id:1056562490948, name:I. S. Drachnev'
 'id:764504738157, name:B. Neumair']",[121332964 185544564],2016,10.1088/1742-6596/675/1/012025
51539963557,"['id:635655697657, name:Astrid James'
 'id:240518737946, name:Laragh Gollogly'
 'id:326418070679, name:Christopher Baethge']",[161191863  71924100],2017,10.1371/JOURNAL.PMED.1002315
60129896704,"['id:730144966089, name:R. Henning' 'id:970663200381, name:J.F. Wilkerson'
 'id:51540175382, name:A S Barabash'
 'id:1374390031044, name:Richard Kouzes'
 'id:326418083625, name:T. Gilliss' 'id:1340030382486, name:C Dunagan'
 'id:438087242516, name:S I Konovalov'
 'id:1477469340278, name:R G H Robertson'
 'id:1219771280085, name:F. T. Avignone' 'id:592706011502, name:J. Goett'
 'id:1443109554573, name:J. Rager' 'id:1305670564374, name:I S Guinn'
 'id:1159641686495, name:P.-H. Chu'
 'id:446677101812, name:Isaac J. Arnquist'
 'id:60130093551, name:R. Massarczyk' 'id:627065722236, name:B R White']",[121332964 185544564 109214941],2017,10.1103/PHYSREVLETT.118.161801
85899868620,"['id:1486059188819, name:Valentino Di Marcello'
 'id:1443109535862, name:V Atroshchenko'
 'id:678605389124, name:I. Lomskaya' 'id:154619354073, name:L. Papp'
 'id:17180417396, name:M. Redchuk' 'id:240518707148, name:M. T. Ranalli'
 'id:309238242577, name:D. Bravo' 'id:429497297157, name:S. Appel'
 'id:68719991879, name:C. Ghiano' 'id:730145054695, name:G. Lukyanchenko'
 'id:1262720966539, name:M. Gromov'
 'id:876173893758, name:Konrad Altenmüller'
 'id:876173836940, name:Ö Penek' 'id:1099512199704, name:R. Tartaglia'
 'id:678605403619, name:S. Kumaran'
 'id:1056562490948, name:I. S. Drachnev'
 'id:884763838880, name:L. Pietrofaccia'
 'id:764504738157, name:B. Neumair' 'id:704375222782, name:A. Di Giacinto']",[121332964 185544564 109214941],2020,10.1140/EPJC/S10052-020-08534-2
103079710644,"['id:1486059188819, name:Valentino Di Marcello'
 'id:1443109535862, name:V Atroshchenko'
 'id:1236951107143, name:B. Caccianiga'
 'id:678605389124, name:I. Lomskaya' 'id:1503239104746, name:G. Bellini'
 'id:1022202726879, name:G Testera' 'id:17180417396, name:M. Redchuk'
 'id:240518707148, name:M. T. Ranalli' 'id:309238242577, name:D. Bravo'
 'id:592706051715, name:S. Rottenanger' 'id:68719991879, name:C. Ghiano'
 'id:730145054695, name:G. Lukyanchenko' 'id:120259663826, name:S Davini'
 'id:1262720966539, name:M. Gromov' 'id:1073742338600, name:S Zavatarelli'
 'id:876173836940, name:Ö Penek' 'id:1030792675995, name:S. Marcocci'
 'id:1099512199704, name:R. Tartaglia' 'id:678605403619, name:S. Kumaran'
 'id:1056562490948, name:I. S. Drachnev'
 'id:884763838880, name:L. Pietrofaccia'
 'id:704375222782, name:A. Di Giacinto']",[121332964 185544564 109214941],2020,10.1103/PHYSREVD.101.062001
120259104991,"['id:1477469340278, name:R G H Robertson'
 'id:1219771280085, name:F. T. Avignone'
 'id:730144966089, name:R. Henning' 'id:1443109554573, name:J. Rager'
 'id:970663200381, name:J.F. Wilkerson'
 'id:1305670640363, name:Susanne Mertens'
 'id:1374390031044, name:Richard Kouzes']",[ 49040817 121332964 185544564],2015,10.1016/J.PHPRO.2014.12.104
146029106046,"['id:1297080616110, name:T. Tsuboyama'
 'id:1013612862701, name:Ryutaro Nishimura'
 'id:532576465836, name:Yoichi Ikegami']",[ 49040817 121332964],2016,10.1016/J.NIMA.2016.04.110
146029380441,"['id:635655697657, name:Astrid James'
 'id:240518737946, name:Laragh Gollogly'
 'id:326418070679, name:Christopher Baethge'
 'id:163209322942, name:Frank A. Frizelle']",[509550671  71924100],2020,10.1056/NEJME2000647
154619078011,"['id:1563368658745, name:T Strub' 'id:781684548518, name:D.J. Hamilton'
 'id:919123554216, name:M. Dieterle' 'id:635655737196, name:S. J. D. Kay'
 'id:1614908271638, name:V. Lisin' 'id:309238158932, name:Garth M. Huber'
 'id:1142461917942, name:I. Supek' 'id:1614908240422, name:A. Polonski'
 'id:764504729626, name:E. Downie' 'id:1529008929435, name:D I Glazier'
 'id:1279900841826, name:M. Oberle' 'id:292058333867, name:Simon Gardner'
 'id:858994021614, name:D P Watts' 'id:94489777427, name:A. Neiser'
 'id:841814156062, name:R. Kondratiev' 'id:111669734024, name:D Paudyal'
 'id:678605427926, name:F. Afzal' 'id:721555108563, name:S. N. Prakhov'
 'id:352187892748, name:M.I. Ferretti Bondy']",[121332964 185544564 109214941],2015,10.1103/PHYSREVC.92.024617
154619247372,"['id:1159641696630, name:C. Garcia Argos'
 'id:1005022856069, name:V. Latonova'
 'id:670015459443, name:J. Fernandez-Tejero'
 'id:541166405227, name:Moritz Wiehe' 'id:833224217440, name:Z. Kotek'
 'id:549756390430, name:Sayaka Wada' 'id:790274558724, name:Marc Hauser'
 'id:721555126163, name:C. Lacasta'
 'id:1305670667369, name:M. Mikestikova'
 'id:1279900868211, name:A.A. Affolder' 'id:515396605113, name:J. Stastny'
 'id:77309951739, name:J. Bohm']",[121332964 120665830],2019,10.1016/J.NIMA.2018.08.031
163209005806,"['id:1151051732647, name:E. Paoloni' 'id:1640678070519, name:G. Casarosa'
 'id:120259680919, name:G. Batignani' 'id:747324904932, name:G. Rizzo'
 'id:738734879708, name:F. Forti' 'id:249108666668, name:S. Bettarini']",[  9390403 119599485  41008148],2015,10.1088/1748-0221/10/02/C02024
171799095002,"['id:472446930578, name:Kazuhiko Hara'
 'id:1297080616110, name:T. Tsuboyama'
 'id:532576465836, name:Yoichi Ikegami']",[121332964 120665830],2018,10.1088/1748-0221/13/01/C01037
171799182602,"['id:635655697657, name:Astrid James'
 'id:240518737946, name:Laragh Gollogly'
 'id:326418070679, name:Christopher Baethge'
 'id:163209322942, name:Frank A. Frizelle']",[509550671  71924100],2020,10.1001/JAMA.2019.22274
188978936511,"['id:730144966089, name:R. Henning' 'id:970663200381, name:J.F. Wilkerson'
 'id:51540175382, name:A S Barabash'
 'id:1374390031044, name:Richard Kouzes'
 'id:326418083625, name:T. Gilliss' 'id:962073299348, name:Hiroyasu Ejiri'
 'id:1340030382486, name:C Dunagan' 'id:438087242516, name:S I Konovalov'
 'id:1219771280085, name:F. T. Avignone' 'id:1443109554573, name:J. Rager'
 'id:1305670564374, name:I S Guinn' 'id:1159641686495, name:P.-H. Chu'
 'id:446677101812, name:Isaac J. Arnquist'
 'id:1305670640363, name:Susanne Mertens'
 'id:60130093551, name:R. Massarczyk' 'id:627065722236, name:B R White']",[121332964 185544564 109214941],2017,10.1088/1742-6596/888/1/012035
206158668935,"['id:85899929381, name:J. Winter'
 'id:197569082586, name:Michele Montuschi'
 'id:1236951107143, name:B. Caccianiga'
 'id:420907385456, name:E. V. Unzhakov'
 'id:1503239104746, name:G. Bellini' 'id:154619354073, name:L. Papp'
 'id:1151051821582, name:S Weinz' 'id:429497297157, name:S. Appel'
 'id:274878403236, name:F. Gabriele'
 'id:730145054695, name:G. Lukyanchenko' 'id:120259663826, name:S Davini'
 'id:1511829068521, name:B. Lehnert' 'id:833224193028, name:M Toropova'
 'id:876173893758, name:Konrad Altenmüller'
 'id:1030792675995, name:S. Marcocci'
 'id:1099512199704, name:R. Tartaglia'
 'id:137439485359, name:Zachary W. Yokley'
 'id:60130057840, name:F. von Feilitzsch'
 'id:1056562490948, name:I. S. Drachnev'
 'id:764504738157, name:B. Neumair']",[121332964 185544564],2016,10.1051/EPJCONF/201612602008
206158798903,"['id:17180409555, name:J.-Y. Roussé' 'id:429497316685, name:M. Lettmann'
 'id:1082332353958, name:L. X. Chung' 'id:489626828750, name:F. Château'
 'id:1468879311967, name:S. Momiyama' 'id:1219771249663, name:M.L. Cortés'
 'id:25770396873, name:V. Lapoux' 'id:292058344402, name:Alain Delbart']",[121332964 184779094],2017,10.1103/PHYSREVC.96.011301
223338427049,"['id:987842971362, name:Z. Galloway' 'id:1262720961773, name:P. Palni'
 'id:128849558808, name:I V Gorelov']",[ 49040817 192562407],2016,10.1016/J.SSE.2015.11.029
223338521148,"['id:103079729185, name:Slawomir Dabrowski'
 'id:300648343950, name:Tadeusz Kaczorowski'
 'id:566936217113, name:Anna-Karina Kaczorowska']",[ 55493867 153911025  86803240],2015,10.1007/S13353-015-0314-5
223338720720,"['id:472446930578, name:Kazuhiko Hara' 'id:1391569982571, name:S. Kamada'
 'id:1357210244870, name:Miguel Ullán' 'id:721555126163, name:C. Lacasta'
 'id:627065791804, name:Yoshinobu Unno'
 'id:1279900868211, name:A.A. Affolder']",[121332964 120665830],2019,10.1016/J.NIMA.2018.06.047
231928592057,"['id:635655697657, name:Astrid James'
 'id:240518737946, name:Laragh Gollogly'
 'id:326418070679, name:Christopher Baethge']",[108827166  71924100],2017,10.3346/JKMS.2017.32.7.1051
231928746880,"['id:670015459443, name:J. Fernandez-Tejero'
 'id:1357210244870, name:Miguel Ullán' 'id:721555126163, name:C. Lacasta'
 'id:627065791804, name:Yoshinobu Unno']",[121332964 119599485],2020,10.1016/J.NIMA.2020.164536
240518203822,"['id:1288490701100, name:S.H. Feng' 'id:1417339790421, name:Minghao Gu'
 'id:1305670641526, name:Xiong Zuo']",[121332964 185544564],2015,10.1016/J.NIMA.2015.04.010
249108456805,"['id:1563368658745, name:T Strub' 'id:781684548518, name:D.J. Hamilton'
 'id:919123554216, name:M. Dieterle' 'id:498216822985, name:N.K. Walford'
 'id:635655737196, name:S. J. D. Kay' 'id:1614908271638, name:V. Lisin'
 'id:876173864458, name:A. Braghieri'
 'id:309238158932, name:Garth M. Huber' 'id:1142461917942, name:I. Supek'
 'id:1614908240422, name:A. Polonski' 'id:764504729626, name:E. Downie'
 'id:1529008929435, name:D I Glazier' 'id:1279900841826, name:M. Oberle'
 'id:292058333867, name:Simon Gardner' 'id:858994021614, name:D P Watts'
 'id:94489777427, name:A. Neiser' 'id:833224177629, name:P P Martel'
 'id:841814156062, name:R. Kondratiev' 'id:111669734024, name:D Paudyal'
 'id:678605427926, name:F. Afzal']",[121332964 185544564 184779094],2017,10.1016/J.PHYSLETB.2017.04.079
249108592611,"['id:1477469340278, name:R G H Robertson'
 'id:755914786301, name:A.S. Barabash'
 'id:1219771280085, name:F. T. Avignone'
 'id:730144966089, name:R. Henning' 'id:1443109554573, name:J. Rager'
 'id:1159641686495, name:P.-H. Chu' 'id:970663200381, name:J.F. Wilkerson'
 'id:1305670640363, name:Susanne Mertens'
 'id:1374390031044, name:Richard Kouzes'
 'id:326418083625, name:T. Gilliss' 'id:60130093551, name:R. Massarczyk']",[121332964 118615104],2020,10.1088/1742-6596/1342/1/012129
249108599752,"['id:635655697657, name:Astrid James'
 'id:240518737946, name:Laragh Gollogly'
 'id:326418070679, name:Christopher Baethge'
 'id:163209322942, name:Frank A. Frizelle']",[509550671  15744967],2020,10.4067/S0034-98872020000100007
257698245917,"['id:1151051732647, name:E. Paoloni' 'id:1640678070519, name:G. Casarosa'
 'id:120259680919, name:G. Batignani' 'id:747324904932, name:G. Rizzo'
 'id:738734879708, name:F. Forti' 'id:249108666668, name:S. Bettarini']",[121332964  24326235],2016,10.1016/J.NIMA.2015.10.042
257698414642,"['id:635655697657, name:Astrid James'
 'id:240518737946, name:Laragh Gollogly'
 'id:326418070679, name:Christopher Baethge'
 'id:163209322942, name:Frank A. Frizelle']",[15708023 17744445],2017,10.4067/S0034-98872017000600691
257698461868,"['id:489626828750, name:F. Château' 'id:25770396873, name:V. Lapoux'
 'id:292058344402, name:Alain Delbart']",[121332964 185544564],2018,10.1016/J.NIMA.2018.07.053
266288481804,"['id:670015459443, name:J. Fernandez-Tejero'
 'id:335007990736, name:I. Mandić' 'id:1357210244870, name:Miguel Ullán'
 'id:627065791804, name:Yoshinobu Unno']",[121332964 120665830],2020,10.1016/J.NIMA.2020.164509
274878163095,"['id:1357210175361, name:Z. Ye' 'id:970663148785, name:Tanja Horn'
 'id:309238158932, name:Garth M. Huber']",[121332964 185544564 109214941],2016,10.1103/PHYSREVLETT.117.262001
283468248230,"['id:1288490701100, name:S.H. Feng' 'id:764504712292, name:B. Gao'
 'id:1305670641526, name:Xiong Zuo']",[121332964 120665830],2018,10.1016/J.NIMA.2018.03.029
292058072870,"['id:635655697657, name:Astrid James'
 'id:326418070679, name:Christopher Baethge'
 'id:163209322942, name:Frank A. Frizelle']",[39549134 71924100],2016,10.4103/0970-258X.186901
292058182100,"['id:1005022903957, name:C. Samanta' 'id:850404104136, name:M. Furic'
 'id:755914783856, name:W Boeglin' 'id:1271310874656, name:W. Vulcan'
 'id:1297080742776, name:Nuruzzaman'
 'id:867583901561, name:A. V. Margaryan'
 'id:1348620260830, name:M. I. Niculescu'
 'id:970663148785, name:Tanja Horn' 'id:1400159938793, name:R. Asaturyan'
 'id:1254130957039, name:A. Liyanage' 'id:790274551803, name:M. Kaneta'
 'id:962073216979, name:S. Zhamkochyan'
 'id:274878535359, name:Satoshi Nakamura' 'id:987843094386, name:C. Chen'
 'id:1357210175361, name:Z. Ye' 'id:721555059334, name:Y. Fujii'
 'id:1443109529659, name:T. Petkovic' 'id:876173923145, name:O. Ates']",[121332964 185544564],2018,10.1016/J.NUCLPHYSA.2018.03.001
300648127618,"['id:17180409555, name:J.-Y. Roussé' 'id:429497316685, name:M. Lettmann'
 'id:489626828750, name:F. Château' 'id:1468879311967, name:S. Momiyama'
 'id:1219771249663, name:M.L. Cortés' 'id:25770396873, name:V. Lapoux'
 'id:292058344402, name:Alain Delbart']",[121332964 185544564],2018,10.1088/1742-6596/1023/1/012023
